,Sector,Portfolio A Allocation (Rs.),Portfolio B Weight (%),Portfolio B Allocation (Rs.)
HDFCBANK.NS,Banking,"66,666.67",0.00%,0.00
ICICIBANK.NS,Banking,"66,666.67",10.93%,"109,269.87"
SBIN.NS,Banking,"66,666.67",0.00%,0.00
KOTAKBANK.NS,Banking,"66,666.67",0.00%,0.00
AXISBANK.NS,Banking,"66,666.67",0.00%,0.00
TCS.NS,IT,"66,666.67",0.00%,0.00
INFY.NS,IT,"66,666.67",0.00%,0.00
WIPRO.NS,IT,"66,666.67",0.00%,0.00
HCLTECH.NS,IT,"66,666.67",28.64%,"286,360.65"
TECHM.NS,IT,"66,666.67",2.69%,"26,870.18"
SUNPHARMA.NS,Pharma,"66,666.67",41.70%,"416,967.66"
DRREDDY.NS,Pharma,"66,666.67",0.00%,0.00
CIPLA.NS,Pharma,"66,666.67",0.00%,0.00
DIVISLAB.NS,Pharma,"66,666.67",11.51%,"115,147.27"
APOLLOHOSP.NS,Pharma,"66,666.67",4.54%,"45,384.36"
